fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,mean_se_degree_centrality,min_se_degree_centrality,max_se_degree_centrality,mean_se_betweenness_centrality,min_se_betweenness_centrality,max_se_betweenness_centrality,mean_se_closeness_centrality,min_se_closeness_centrality,max_se_closeness_centrality,mean_se_eigen_centrality,min_se_eigen_centrality,max_se_eigen_centrality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500353081269633e-35,0.0,1.7333369499485123e-33,0.0,0.0,0.0,2.41872726890732e-34,0.0,1.232595164407831e-32
0.01,17444.230143661232,29.633515455204176,8.582962036034694,0.00010172534897259662,4.00801201602001e-06,0.0005300595891186482,5.780761937945796e-07,5.577969917791135e-16,8.037787725612299e-05,0.0006354320295372001,3.7859257187637164e-07,0.0036216167389377125,7.932204950422022e-06,8.823274675839396e-13,0.00015301814804557907
0.02,26668.06172812603,46.46203810042782,11.97603570857516,0.00038719400080761645,4.9098147196245315e-05,0.0012985958931904873,1.4727524029427867e-06,1.0933072756160991e-13,0.0001778819442377636,0.001863681799647694,6.098044526561193e-06,0.006274225018439488,2.463594201107273e-05,2.1359987966798464e-10,0.0004911049578188146
0.03,33412.50498311012,58.7572473356688,15.311719810001634,0.0008579690801913006,0.0002254506759011266,0.002120238356474593,2.3103354295419717e-06,1.100940515277041e-13,0.00025784330861285094,0.002916154835920038,2.1606628866851398e-05,0.009336169140967035,4.676065688503666e-05,3.669057040446183e-13,0.0010085406659947934
0.04,38785.01772401672,68.5850573891364,18.671940940717505,0.0015148221294367461,0.00040080120160200267,0.003255507760012265,2.9608382556201696e-06,9.854338740200428e-13,0.00033373225816148036,0.003584840857831577,4.6844331507363126e-05,0.011061879861154051,7.046971394385441e-05,1.199321843105276e-10,0.0017631665547688839
0.05,43266.81818950694,76.79566809479779,21.59599881860307,0.0023559114670225765,0.000785570355139925,0.005940875810745681,3.489108473586079e-06,1.6180252655164767e-13,0.0003976112034393165,0.00403171135151181,7.639393325680997e-05,0.011915718869078369,9.527313883265309e-05,6.796954700456556e-10,0.0025643598653592014
0.06,47118.253194372206,83.9067623240713,24.47075642548489,0.003381050720390045,0.0009629248868488121,0.00673746819892966,3.8970653074389434e-06,4.6376031574745175e-14,0.0004424705071334119,0.0043909818595416995,9.395837034410713e-05,0.012410868556042454,0.00011903998295603765,2.4000780371400187e-09,0.00328937232490391
0.07,50498.082575287845,90.25129885999615,27.531435721371036,0.004592576560544513,0.0018527035544052563,0.008853698543388234,4.1887686662243105e-06,1.9808313909010346e-11,0.00047147733249886057,0.004738132051562078,0.00018325300228460903,0.013196949798588318,0.00014004058665757305,1.3560896558187132e-09,0.003914465300541905
0.08,53510.93675529228,95.8033402477569,29.831242697445223,0.0059873447020594266,0.0022134246358470576,0.011687363038714389,4.4798481508442515e-06,1.1870358554376013e-14,0.0004949873505504885,0.0050983435709151415,0.00021943712413318285,0.01391361178659021,0.0001611036062927685,5.141273272962825e-10,0.004596846725141845
0.09,56229.68684632812,100.85313835237079,32.088178737386166,0.00756427698970244,0.003031059087115141,0.014189364539714889,4.724228905804612e-06,3.78075266777141e-12,0.0005205576939490731,0.0054753265418130675,0.0003032519973990395,0.015146464095613614,0.00017990578466732965,7.549281511448383e-10,0.005268515725114684
0.1,58707.24003468357,105.49028151265195,34.34267735770393,0.009329908487065657,0.003607210814418019,0.017195373551729905,4.938073937186176e-06,7.141196883965949e-14,0.0005444155106502546,0.005869395910195663,0.000362967257155366,0.01601139683158592,0.00019599456965201152,2.5127669365742253e-10,0.005965265549341116
