fraction,graph_uncertainty,mean_uncertainty,std_dev_uncertainty,mean_se_degree_centrality,min_se_degree_centrality,max_se_degree_centrality,mean_se_betweenness_centrality,min_se_betweenness_centrality,max_se_betweenness_centrality,mean_se_closeness_centrality,min_se_closeness_centrality,max_se_closeness_centrality,mean_se_eigen_centrality,min_se_eigen_centrality,max_se_eigen_centrality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0293216282975362e-37,0.0,1.692711865184094e-36,0.0,0.0,0.0,2.055087621282705e-34,0.0,1.7333369499485123e-33
0.01,22383.62057364296,41.18698371302128,10.767497394309412,9.032455879302746e-05,1.0020030040050163e-06,0.0003617230844458072,3.062163919510299e-09,3.634541205120262e-15,2.974234845069154e-08,7.055959602206458e-06,7.813116686544734e-08,2.875036958244372e-05,8.874207031186353e-07,4.601065260584541e-14,8.723091787665536e-06
0.02,36319.61349211459,68.63766034313221,11.251515731328542,0.00034142250358466656,4.909814719624522e-05,0.001026051076101126,5.526335281064775e-09,3.24524493275001e-16,7.352815624453842e-08,2.6875277413627164e-05,3.772270900177073e-06,7.942788946158155e-05,1.5686110715888846e-06,2.540003249321806e-12,2.047912393554282e-05
0.03,47357.190792169225,90.45405646217661,11.49269942335734,0.000755858962065166,0.00016933850767684598,0.001939877815753691,8.231722895295324e-09,2.1969286455692162e-15,1.08552639583227e-07,5.997929055920847e-05,1.2660170869052796e-05,0.00015537215297586532,2.2616825997291878e-06,1.1140955480038277e-13,2.5188680755073813e-05
0.04,56650.80942534014,108.89266697595157,11.479391488011201,0.0013307120934748587,0.0003246489732976223,0.0030310590871151424,1.0598815615808307e-08,1.2313060852169033e-14,1.5820967994178876e-07,0.00010653941796705789,2.5776109868217113e-05,0.0002570118378816836,2.729088449219376e-06,3.413066677851851e-12,2.9349253521167604e-05
0.05,64735.01026353314,124.99298838057122,11.346005852137834,0.00206568330091854,0.0006262518775031283,0.004233462691921149,1.2205378916164002e-08,5.283758650596694e-18,1.4616979919112812e-07,0.0001669314403180942,4.946119936807453e-05,0.0003514666366780426,3.0014178995726303e-06,5.691977325895783e-12,2.6189949890736587e-05
0.06,71915.91193436206,139.26889252510202,11.621168594896963,0.002965389814238655,0.0008426845263682107,0.005940875810745681,1.421927792579662e-08,2.3540797497900805e-14,2.0340123169792778e-07,0.00024194061687242584,6.684032711974097e-05,0.0004932100160133073,3.36679985645032e-06,4.727644524487672e-13,3.445785133230222e-05
0.07,78389.86791696862,152.12966023306598,11.942098942707817,0.004029032035038018,0.0012985958931904873,0.007759511263014766,1.6725479027134763e-08,1.778237385348934e-15,2.182317260873717e-07,0.0003319162437418329,0.0001037787821570938,0.0006533382367825749,3.8013397172785725e-06,1.4459904248630104e-13,3.712694064755466e-05
0.08,84292.230327643,163.87789185911063,11.90827079608526,0.00525146567989411,0.0021202383564745916,0.009820631442253064,1.8982083986184636e-08,4.595406198607927e-15,2.0691006722372845e-07,0.0004367849138012277,0.00017127703670027057,0.0008573866254688624,4.124008458384824e-06,5.219503582812267e-13,3.895668950255989e-05
0.09,89721.11403107167,174.6848528071491,12.023335343088961,0.006636410183957758,0.002921840759678598,0.012124236348460573,2.1239513143264837e-08,3.047378216018968e-15,2.7044674988740593e-07,0.0005573680748144995,0.00023808561911988957,0.0010440062122621524,4.423013965035617e-06,1.0191928630196573e-11,4.593969175712292e-05
0.1,94750.34722780499,184.70866868186357,12.169728722835936,0.008182208234260295,0.004104204304404504,0.014428843257672087,2.3505693068940346e-08,8.42026770810189e-18,2.7744517881139247e-07,0.0006939638846797687,0.0003395438019240603,0.0012455749927423535,4.629248003713679e-06,5.1071544242943945e-11,4.543659030919164e-05
0.11,99437.1149484782,194.0628768950012,12.092130205772433,0.009885825765705672,0.0053396740083426755,0.017195373551729905,2.566167704817789e-08,3.068914654468256e-17,2.644163436420421e-07,0.0008466778342135421,0.0004499931276533932,0.001510515073166281,4.7659101125033195e-06,3.7467498677571946e-16,4.7007843845627616e-05
0.12,103826.74956806346,202.81457260047134,12.275429759385739,0.011754986217448662,0.006574141709276845,0.020204388572756946,2.8093657514419077e-08,4.569210612534105e-15,2.8107402196855755e-07,0.0010168081390565325,0.0005517402458507551,0.0018036934237009453,4.95867919352934e-06,4.201076475652354e-11,5.192666357232865e-05
0.13,107955.87778031545,211.0491616659368,12.518424978161088,0.01378673167662153,0.007584160737313892,0.023455888320753182,3.0687137356987246e-08,3.8991223962293893e-13,3.2090314914188364e-07,0.0012045739035037289,0.0006407338526220941,0.0021018787419238775,5.134606508852454e-06,5.592038241999017e-14,4.787562411640476e-05
0.14,111854.56773431726,218.8246386329075,12.753475028321304,0.015980184388592708,0.008480953425898372,0.027611194778361957,3.340128028968088e-08,2.409546561267326e-13,3.043285916311635e-07,0.0014103586742423078,0.0007283151714797819,0.002511387453243467,5.299937475339845e-06,1.1159344375606423e-10,5.1900546684687056e-05
0.15,115547.84047582839,226.19740566097275,13.011748692187263,0.018334542750959127,0.010221432643855066,0.031038045052059066,3.6111974090210376e-08,7.742216634838829e-16,3.3506272233511113e-07,0.0016346455579427663,0.0008789580584468155,0.0028748413279493044,5.411184931356307e-06,5.467384603748431e-12,4.7878183697138885e-05
0.16,119056.76217496584,233.19599922601603,13.235447784154498,0.020851381912442915,0.01212423634846057,0.03355607860112365,3.910255476922417e-08,7.448458441067356e-15,3.603661047192741e-07,0.0018780398974111879,0.0010531173593980212,0.00313344880283306,5.567202182817982e-06,8.537577762226723e-13,5.312094497841795e-05
0.17,122398.52498591806,239.86136779734767,13.491192031919306,0.023530311091872588,0.014428843257672089,0.03732360989618248,4.2300254072349124e-08,5.747184559965822e-15,3.620583536173936e-07,0.0021411486386210296,0.0012646896114936112,0.0035027705308436404,5.706022019117438e-06,3.858044601150047e-13,6.290897584688576e-05
0.18,125589.99228217284,246.22465565954298,13.692330637207776,0.02637072908744579,0.016416817217618018,0.03928252576901227,4.565009541890737e-08,1.926444907793623e-13,3.7982520305969734e-07,0.0024243669969134093,0.0014519798456920266,0.003733084558759441,5.8592520839867365e-06,9.269489364710629e-14,6.551755521760471e-05
0.19,128643.70799457446,252.31252275213518,13.93505167426679,0.029374435496557636,0.018261504747991236,0.042934826718610514,4.9126462103134845e-08,4.0252961099527146e-13,3.932502223341556e-07,0.0027286090712887808,0.0016279911644015174,0.004332569728189278,6.019242710549788e-06,3.8803954450061016e-14,6.599901122594486e-05
0.2,131571.26605254557,258.15455904700053,14.181899633436604,0.032538468398328184,0.01992082172262353,0.04674945215485757,5.2640576871683735e-08,5.943784807213107e-15,4.3144700896040197e-07,0.003054119344552375,0.001788074117755261,0.0045717022598511315,6.132389569001804e-06,1.5312617061419523e-11,7.478303682652778e-05
0.21,134382.8343924556,263.76865646144205,14.491509298635995,0.03586489592695796,0.022245468691915144,0.05254603953302651,5.620759239151801e-08,3.070305312327881e-13,4.104516751609608e-07,0.003401843820452057,0.002015050779587948,0.005180422264134099,6.195897954988628e-06,5.321772821648813e-13,6.468311066652205e-05
0.22,137087.38260974092,269.1709832334927,14.86129782665674,0.039355267179090915,0.024698372045719397,0.058681303926549175,5.992692539558062e-08,2.8670075176473488e-12,4.395614653995753e-07,0.0037726387735720376,0.0022578605885223077,0.005876310054868895,6.242322345716646e-06,2.6386323808294133e-11,6.66077284980017e-05
0.23,139692.86541612112,274.3745513108802,15.07622882358945,0.04300235370505631,0.027944861778695616,0.06162719275832388,6.386691782864766e-08,3.8359671563626107e-13,4.7178548453881163e-07,0.004165940776911566,0.0025842650295057872,0.0062161916728486295,6.303858241998966e-06,2.171101256405758e-11,7.01767561583571e-05
0.24,142206.37191248286,279.3907670614888,15.274309371416654,0.0468123358593827,0.03033664294925555,0.06773540307073841,6.799850439712868e-08,5.258371603620343e-16,4.960201862219122e-07,0.004583363828121719,0.002950523760113034,0.006764668904304881,6.403727493703621e-06,4.944533751027215e-12,7.522450796936622e-05
0.25,144634.248116799,284.2383753117135,15.521268539436756,0.050785223662100504,0.033923813703593486,0.07143179215251286,7.222308873623712e-08,9.64487949872222e-13,5.077273263506739e-07,0.0050258027326126435,0.0033018454352229517,0.007373694851397894,6.480738886139065e-06,4.553363589248835e-11,7.350844165111657e-05
